name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
DANTE'S ELECTRICAL AND HARDWARE COMPANY LIMITED,Jamaica,GOJEP Awards,,,,,G0230-Hardware and Haberdashery,,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9144129,won: The Supply of Building Materials for Western Regional Health Authority’s Maintenance Department.; value: 140626.60 Currency: JMD; date: 13/05/2026 15:01:58; agency: Western Regional Health Authority
Sitewatch Electronic Security Limited,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9105089,"won: The Procurement of Goods for the Supply, Delivery and Installation of 44 NX Video Management License for JFIZ; value: 1455555.00 Currency: JMD; date: 13/05/2026 14:51:14; agency: JCA Project and Initiatives Implementation"
Copiers And Consumables Limited,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8966281,won: Procurement of Printer/Photocopier with Finisher for Document Center; value: 2/ 2; date: 13/05/2026 14:15:48; agency: Jamaica Agricultural Commodities Regulatory Authority
BIODEN CHEMICALS LIMITED,Jamaica,GOJEP Awards,,,,,"G0320-Janitorial, Sanitation Supplies",,,,,supply;cleaning,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8615040,won: Procurement of Cleaning and Sanitation Supplies; value: 2/ 2; date: 12/05/2026 23:28:01; agency: St. Catherine Health Services
Jemar Printery Limited,Jamaica,GOJEP Awards,,,,,G0080-Books - Approved Textbooks,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8630740,won: Procurement of Stationery (HIV Antenatal Books); value: 97980.00 Currency: JMD; date: 12/05/2026 23:19:16; agency: St. Catherine Health Services
WAYNE'S DISCOUNT CENTRE COMPANY LIMITED,Jamaica,GOJEP Awards,,,,,G0190-Food and Grocery Items,,,,,supply;food,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9207976,won: Procurement of Tastee Cheese; value: 888498.20 Currency: JMD; date: 12/05/2026 23:16:40; agency: St. Catherine Health Services
HIGHWAY HARDWARE AND PLUMBING LIMITED,Jamaica,GOJEP Awards,,,,,G0230-Hardware and Haberdashery,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8768685,won: Procurement of Hardware and Haberdashery (Carpentry); value: 2/ 2; date: 12/05/2026 23:08:37; agency: St. Catherine Health Services
Recharged Distributors Limited,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8813507,won: Procurement of Medical Supplies (Test Kits); value: 445500.00 Currency: JMD; date: 12/05/2026 22:47:18; agency: St. Catherine Health Services
Jamaica Waste Industries Limited,Jamaica,GOJEP Awards,,,,,S0630-Transportation and Haulage - Garbage Collection and Disposal,,,,,,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9003997,won: The Rental of Self Contained Compactor and Open Top Container 26/27-AL-005; value: 8160680.00 Currency: JMD; date: 12/05/2026 22:34:10; agency: Western Regional Health Authority
Toyota Jamaica Limited,Jamaica,GOJEP Awards,,,,,G0370-Motor Vehicle and Spares - New Car,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8803973,won: Procurement of One (1) 2026 Toyota Box Body Motor Truck; value: 13383605.70 Currency: JMD; date: 12/05/2026 21:50:48; agency: Tax Administration Jamaica
genesis office concept limited,Jamaica,GOJEP Awards,,,,,G0540-Stationery Supplies,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8748084,won: Procurement of Perforated TRN Card Holders - Framework Agreement; value: 2185000.00 Currency: JMD; date: 12/05/2026 21:41:32; agency: Tax Administration Jamaica
Leroy A Grey,Jamaica,GOJEP Awards,,,,,S0590-Telecommunication Services,,,,,,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9309404,won: Provision of Telecommunication Services 26/27-AL-060-1; value: 714689.13 Currency: JMD; date: 12/05/2026 21:38:41; agency: Western Regional Health Authority
Wright Choice Building Solution And Landscaping Services,Jamaica,GOJEP Awards,,,,,W0150-Interior Construction Works,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8793554,won: Procurement of Minor Works: To Renovate Bathrooms at Kingston Mall Shop #42; value: 2/ 2; date: 12/05/2026 21:29:05; agency: Tax Administration Jamaica
Aren Evans,Jamaica,GOJEP Awards,,,,,S0300-General Services,,,,,,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9395110,won: Provision of Labourers 26/27-AL-207; value: 1200000.00 Currency: JMD; date: 12/05/2026 20:59:40; agency: Western Regional Health Authority
Morris Hill Ltd,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9489490,"won: Emergency Works Hurricane Melissa Reopening of Roads – Great River to Kew Bridge, Hanover; value: 3675406.29 Currency: JMD; date: 12/05/2026 20:13:39; agency: National Works Agency"
Agility Imports Limited,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9382543,won: Procurement of Incontinence Pad 26/27-AL-195; value: 634800.00 Currency: JMD; date: 12/05/2026 19:37:13; agency: Western Regional Health Authority
KA-ZE CONSTRUCTION AND AIR CONDITIONING LIMITED,Jamaica,GOJEP Awards,,,,,W0270-Roofing,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9487505,won: Emergency Procurement for Roof Repairs at South West TVET Institute - Black River (697846); value: 1397350.00 Currency: JMD; date: 12/05/2026 19:36:09; agency: HEART NSTA/Trust
ASA SPECIALTY PRODUCTS INC.,Jamaica,GOJEP Awards,,,,,G0270-Industrial Pipes and Fittings,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=7485648,won: Procurement of Valve Manifolds; value: 6986.00 Currency: USD; date: 12/05/2026 18:44:24; agency: Petrojam Limited
